Department,Municipality,Total 2005,Households 2005
Nariño,Cumbitara,6142,1471
Nariño,Chachagüí,11910,2716
Nariño,El Charco,26163,5406
Nariño,El Peñol,6683,1787
Nariño,El Rosario,11204,2755
Nariño,El Tablón de Gómez,13890,3474
Nariño,El Tambo,13799,3429
Nariño,Funes,6687,1771
Nariño,Guachucal,16627,4206
Nariño,Guaitarilla,12764,3136
Nariño,Gualmatán,5656,1515
Nariño,Iles,7867,2025
Nariño,Imués,7387,1891
Nariño,Ipiales,109865,26895
Nariño,La Cruz,17633,5126
Nariño,La Florida,11151,2819
Nariño,La Llanada,3694,953
Nariño,La Tola,8571,1327
Nariño,La Unión,27588,6749
Nariño,Leiva,11825,2832
Nariño,Linares,11546,3083
Nariño,Los Andes,14870,2357
Nariño,Magüi,13831,2270
Nariño,Mallama,8317,1532
Nariño,Mosquera,11873,2117
Nariño,Nariño,4210,959
Nariño,Olaya Herrera,27225,4721
Nariño,Ospina,8233,1831
Nariño,Francisco Pizarro,11183,2491
Nariño,Policarpa,9798,2396
Nariño,Potosí,13040,3189
Nariño,Providencia,11726,2224
Nariño,Puerres,8850,2432
Nariño,Pupiales,18415,4774
Nariño,Ricaurte,14669,3202
Nariño,Roberto Payán,17286,3209
Nariño,Samaniego,49992,10969
Nariño,Sandoná,25134,6014
Nariño,San Bernardo,14487,2524
Nariño,San Lorenzo,18430,4147
Nariño,San Pablo,14932,3702
Nariño,San Pedro de Cartago,7047,1568
