Department,Municipality,Total 2018,Housing units 2018,Households 2018,People 2018
Cundinamarca,Paime,4186,1642,1420,3865
Cundinamarca,Pandi,4973,2457,1737,4735
Cundinamarca,Paratebueno,8328,3298,2637,8043
Cundinamarca,Pasca,9105,3469,2870,8686
Cundinamarca,Puerto Salgar,15453,5867,4981,15019
Cundinamarca,Pulí,3327,1434,984,2525
Cundinamarca,Quebradanegra,4724,2274,1656,4453
Cundinamarca,Quetame,5072,2327,1656,4929
Cundinamarca,Quipile,6291,3272,2430,6114
Cundinamarca,Apulo,8192,4170,2873,7533
Cundinamarca,Ricaurte,12881,16169,4657,10788
Cundinamarca,San Antonio del Tequendama,11870,5658,3962,10214
Cundinamarca,San Bernardo,8487,3343,2671,7417
Cundinamarca,San Cayetano,4846,1810,1474,4043
Cundinamarca,San Francisco,10755,5452,3513,9644
Cundinamarca,San Juan de Río Seco,8181,3764,2806,7547
Cundinamarca,Sasaima,10711,4799,3688,9807
Cundinamarca,Sesquilé,11423,4424,3442,11067
Cundinamarca,Sibaté,33491,11729,10819,32803
Cundinamarca,Silvania,21625,10444,7434,20581
Cundinamarca,Simijaca,12847,4506,3914,11526
Cundinamarca,Soacha,660179,234654,210423,645205
Cundinamarca,Sopó,25782,8652,7834,24838
Cundinamarca,Subachoque,15690,6202,4839,14874
Cundinamarca,Suesca,17021,7437,5735,15401
Cundinamarca,Supatá,5203,2585,1832,4726
Cundinamarca,Susa,6454,2970,1958,6073
Cundinamarca,Sutatausa,5887,2496,1648,5258
Cundinamarca,Tabio,21665,7748,6528,20602
Cundinamarca,Tausa,8067,2861,2073,6735
Cundinamarca,Tena,9567,4525,3076,8072
Cundinamarca,Tenjo,21935,6899,7147,20386
Cundinamarca,Tibacuy,4335,2199,1755,3944
Cundinamarca,Tibirita,3158,1943,1007,2439
Cundinamarca,Tocaima,15735,8894,6200,13649
Cundinamarca,Tocancipá,39996,12542,12964,39416
Cundinamarca,Topaipí,4139,1833,1465,3537
